X,Y,DBN,school,district,open_date,X,Y,school_add,Enrollment,2006_1,2007_1,2008_1,2009_1,2010_1,2011_1,2012_1,2013_1,2014_1,2015_1,Growth/dec,Growth,Decline,Year opene
-73.984801504199993,40.697395992200001,13K350,Urban Assembly High School of Music and Art,13,2005,-73.984801504199993,40.697395992200001,"49 Flatbush Avenue Extension, Brooklyn, NY 11201",110,217,308,381,411,391,431,80,139,188,323,213,213,,
-73.960237384,40.683868191499997,13K351,The Urban Assembly Unison School K351,13,2012,-73.960237383999996,40.683868191499997,"170 Gates Avenue, Brooklyn, NY 11238",0,0,0,0,0,0,0,0,0,188,149,149,149,,2012
-73.958702437775244,40.69241448063088,13K412,"Brooklyn Community High School of Communication, Arts and Media",13,2006,-73.958388059000001,40.692478170299999,"300 Willoughby Avenue, Brooklyn, NY 11205",0,98,219,324,426,467,462,469,401,404,370,370,370,,
-73.984535859475741,40.697105409599068,13K419,Science Skills Center High School for Science,13,,-73.958605577399993,40.692210626200001,"49 Flatbush Ave Ext, Brooklyn, NY 11217",928,971,954,956,794,627,517,534,537,528,549,-379,,-379,
-73.976413551471822,40.688867912934597,13K430,Brooklyn Technical High School,13,,-73.958516306800007,40.691845654300003,"29 Fort Greene Place, Brooklyn, NY 11217",4240,4296,4469,4662,4947,5140,5332,5451,5458,5447,5509,1269,1269,,
-73.984256396199996,40.697361344900003,13K439,Brooklyn International High School,13,1999,-73.984256396199996,40.697361344900003,"49 Flatbush Avenue Extension, Brooklyn, NY 11201",331,358,391,405,414,388,367,351,343,345,363,32,32,,
-73.988387031599999,40.694443447300003,13K483,The Urban Assembly School for Law and Justice,13,2004,-73.988387031599999,40.694443447300003,"283 Adams Street, Brooklyn, NY 11201",222,319,409,450,465,458,450,440,449,448,458,236,236,,
-73.971017137600001,40.690741777500001,13K492,"Academy of Arts and Letters, Urban Assembly",13,2006,-73.971017137600001,40.690741777500001,"225 Adelphi Street, Brooklyn, NY 11205",0,86,170,277,291,307,424,485,490,494,506,506,506,,
-73.962318097500003,40.678555533199997,13K499,Acorn Community High School,13,1996,-73.962318097500003,40.678555533199997,"561 Grand Avenue, Brooklyn, NY 11238",695,709,749,740,696,744,731,712,623,504,374,-321,,-321,
-73.986808837106878,40.696963669506069,13K509,Freedom Academy High School,13,,-73.962190896899997,40.678891081000003,"116 Nassau Street, Brooklyn, NY 11201",288,313,315,316,314,261,218,0,0,0,0,-288,,-288,
-73.988323368500005,40.694837585099997,13K527,Urban Assembly Institute of Math and Science for Young Women,13,2006,-73.988323368500005,40.694837585099997,"283 Adams Street, Brooklyn, NY 11201",0,76,146,250,317,397,469,498,508,470,463,463,463,,
-73.94842213349483,40.684598209710629,13K553,Brooklyn Academy High School,13,2003,-73.948422306200001,40.684374898800002,"832 Marcy Avenue, Brooklyn, NY 11216",323,256,304,257,217,195,184,155,160,176,0,-323,,-323,
-73.966620507447942,40.678380289307256,13K571,MS 571,13,,-73.948489289199998,40.684716206200001,"80 Underhill Ave, Brooklyn, NY 11238",284,279,273,249,213,169,88,0,0,0,0,-284,,-284,
-73.947535325218837,40.684720472677391,13K575,Bedford Stuyvesant Preparatory High School,13,,-73.947891609199999,40.684624929899996,"832 Marcy Ave, Brooklyn, NY 11216",195,176,138,115,112,130,152,107,123,143,120,-75,,-75,
-73.9536921885,40.685324717699999,13K595,Bedford Academy High School,13,2003,-73.953692188500000,40.685324717699999,"1119 Bedford Avenue, Brooklyn, NY 11216",290,342,325,336,342,363,365,371,361,364,357,67,67,,
-73.958582548273341,40.692093424051691,13K596,M.S. 596 Peace Academy,13,2007,-73.957934139599999,40.692536395600001,"300 Willoughby Avenue, Brooklyn, NY 11205",0,0,75,138,195,178,155,117,88,47,49,49,49,,2007
-73.985613819099996,40.695088859199998,13K605,George Westinghouse Career and Technical Education High School,13,1996,-73.985613819099996,40.695088859199998,"105 Tech Place, Brooklyn, NY 11201",1054,1012,896,917,963,929,927,817,702,634,603,-451,,-451,
-73.958416708900003,40.6914259765,13K616,Brooklyn High School for Leadership and Community Service,13,2008,-73.958416708900003,40.691425976500000,"300 Willoughby Avenue, Brooklyn, NY 11205",0,0,0,151,211,216,212,222,233,219,199,199,199,,
-73.968751011500004,40.695455904600003,13K670,Benjamin Banneker Academy,13,1996,-73.968751011500004,40.695455904600003,"71-77 Clinton Avenue, Brooklyn, NY 11205",939,998,924,865,829,832,895,900,907,916,911,-28,,-28,
-73.985586413199997,40.695787251699997,13K674,"City Polytechnic High School of Engineering, Architecture, and Technology",13,2009,-73.985586413199997,40.695787251699997,"105 Tech Place, Brooklyn, NY 11201",0,0,0,0,124,246,335,426,451,458,444,444,444,,
-73.971595748499993,40.694249318200001,13K691,Fort Greene Preparatory Academy,13,2010,-73.971595748499993,40.694249318200001,"100 Clermont Avenue, Brooklyn, NY 11205",0,0,0,0,0,104,182,257,257,243,238,238,238,,2010
-73.950716511,40.689588452,84K417,Urban Dove Team Charter School,13,2012,-73.950716510999996,40.689588452000002,"600 Lafayette Avenue, Brooklyn NY 11216",0,0,0,0,0,0,0,101,171,229,298,298,298,,2012
-73.965924,40.682396,84K508,Achievement First Endeavor,13,2006,-73.965924000000001,40.682395999999997,"510 Waverly Avenue Brooklyn, NY 11238",0,0,50,100,275,323,535,673,849,974,1004,1004,1004,,2006
-73.946187211629024,40.681707453084407,84K517,Leadership Preparatory Bedford Stuyvesant,13,2006,-73.945621323899999,40.681914547300003,"141 Macon Street Brooklyn, NY 11216",0,100,200,275,350,420,470,535,620,698,772,772,772,,2006
-73.977958430399994,40.695495907100003,84K536,Community Roots Charter School,13,2006,-73.977958430399994,40.695495907100003,"51 Saint Edwards Street, Brooklyn, NY 11205",0,50,104,200,250,300,298,350,407,453,458,458,458,,2006
-73.950117718984728,40.690355137935015,84K702,Community Partnership School,13,2000,-73.950180573899999,40.690514739699999,"114 Kosciusko Street Brooklyn, NY 11216",330,330,330,330,330,330,332,375,420,413,471,141,141,,2000
-73.985524424399998,40.691857445300002,84K707,Brooklyn Prospect Charter Elementary School,13,2013,-73.985524424399998,40.691857445300002,"80 Willoughby Street Brooklyn, NY 11201",0,0,0,0,0,202,303,438,613,771,929,929,929,,2009
-73.975976722599995,40.697449456100003,84K752,Success Academy Fort Greene,13,2013,-73.975976722599995,40.697449456100003,"101 Park Avenue, Brooklyn NY 11205",0,0,0,0,0,0,0,0,136,204,293,293,293,,2013
-73.940569678,40.686296525,84K757,Unity Preparatory Charter School of Brooklyn,13,2013,-73.940569678000003,40.686296525000003,"432 Monroe Street, Brooklyn, NY 11221",0,0,0,0,0,0,0,0,139,231,316,316,316,,2013
-73.986873358,40.692410477499998,84k766,International Charter School of New York,13,2015,-73.986873357999997,40.692410477499998,"55 Willoughby Street Brooklyn, NY 11201",0,0,0,0,0,0,0,0,0,112,112,112,112,,2015
-73.96674660411189,40.678857395523117,84K780,Brooklyn East Collegiate Charter School,13,2010,-73.965759645800006,40.678588933000000,"80 Underhill Avenue Brooklyn, NY 11238",0,0,0,0,0,80,140,212,282,339,388,388,388,,2010
-73.971757903237162,40.688935438622437,84K789,Compass Charter School,13,,-73.966685953600006,40.678833785499997,"300 Adelphi Street, Brooklyn, NY 11205",0,0,0,0,0,0,0,0,0,108,154,154,154,,2014
-73.987301984200002,40.697141577700002,84K803,Brooklyn Laboratory Charter School,13,2014,-73.987301984200002,40.697141577700002,"250 Jay Street Brooklyn, NYNY 11201",0,0,0,0,0,0,0,0,0,126,245,245,245,,2014
