X,Y,DBN,school,district,open_date,X,Y,school_add,Enrollment,2006_1,2007_1,2008_1,2009_1,2010_1,2011_1,2012_1,2013_1,2014_1,2015_1,Growth/dec,Growth,Decline,Year opene,Total Enrollment,PerAsian,PerBlack,PerHispanic,PerOther,PerWhite,PerDisabilities,PerELL,PerPoverty
-73.955270845399994,40.682441313,13K003,P.S. 003 The Bedford Village,13,1950,-73.955270845399994,40.682441312999998,"50 Jefferson Avenue, Brooklyn, NY 11216",645,627,590,586,638,634,616,567,513,506,431,-214,,-214,,450,10.7,70.4,12.2,4.7,2,0.118,10.7,87.1
-73.9929319,40.7007522,13K008,P.S. 008 Robert Fulton,13,1907,-73.992931900000002,40.700752199999997,"37 Hicks Street, Brooklyn, NY 11201",369,429,491,532,541,552,589,712,848,880,925,556,556,,,924,6.1,14,11.5,7.4,61.1,0.141,2.2,13.5
-73.965901796500006,40.678202194,13K009,P.S. 009 Teunis G. Bergen,13,1957,-73.965901796500006,40.678202194000001,"80 Underhill Avenue, Brooklyn, NY 11238",540,515,533,518,538,596,645,667,722,796,832,292,292,,,838,6.9,45.3,13.8,5.8,28,0.156,3.6,43.8
-73.966094,40.6857169,13K011,P.S. 011 Purvis J. Behan,13,1958,-73.966093999999998,40.685716900000003,"419 Waverly Avenue, Brooklyn, NY 11238",501,488,500,521,574,598,640,712,733,803,836,335,335,,,831,3.5,67.6,11.3,6,11.6,0.094,1.7,44.3
-73.971171394099997,40.691394670199998,13K020,P.S. 020 Clinton Hill,13,1951,-73.971171394099997,40.691394670199998,"225 Adelphi Street, Brooklyn, NY 11205",451,429,437,397,366,357,325,320,321,377,402,-49,,-49,,401,3,53.9,21.4,5.5,16.2,0.142,3,68.1
-73.941302020600006,40.686205893599997,13K044,P.S. 044 Marcus Garvey,13,1951,-73.941302020600006,40.686205893599997,"432 Monroe Street, Brooklyn, NY 11221",625,601,537,486,442,379,339,322,287,261,215,-410,,-410,,223,3.1,82.5,10.8,1.8,1.8,0.148,5.8,96.9
-73.971711498900007,40.694625766800002,13K046,P.S. 046 Edward C. Blum,13,1960,-73.971711498900007,40.694625766800002,"100 Clermont Avenue, Brooklyn, NY 11205",430,391,394,348,375,401,381,412,417,399,359,-71,,-71,,361,1.4,50.4,44.9,1.7,1.7,0.233,13.6,88.9
-73.952650520399999,40.692605954400001,13K054,P.S. 054 Samuel C. Barnes,13,1922,-73.952650520399999,40.692605954400001,"195 Sanford Street, Brooklyn, NY 11205",473,389,342,277,283,286,279,285,251,248,246,-227,,-227,,241,3.7,56.8,36.5,2.5,0.4,0.203,14.1,93.8
-73.9607226,40.6848318,13K056,P.S. 056 Lewis H. Latimer,13,1966,-73.960722599999997,40.684831799999998,"170 Gates Avenue, Brooklyn, NY 11238",408,358,348,323,296,290,258,238,236,230,200,-208,,-208,,200,4.5,79.5,10.5,1,4.5,0.16,2.5,83
-73.977834829200006,40.6947787326,13K067,P.S. 067 Charles A. Dorsey,13,1923,-73.977834829200006,40.694778732600000,"51 Saint Edwards Street, Brooklyn, NY 11205",306,278,245,224,228,252,266,304,276,234,228,-78,,-78,,228,7.9,53.5,34.6,3.1,0.9,0.232,8.3,99.1
