longitude,latitude,DBN,school,district,open_date,school_add,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,GrowthDecline,Growth,Decline
-73.9623180975,40.6785555332,13K499,Acorn Community High School,13,1996,"561 Grand Avenue, Brooklyn, NY 11238",709,749,740,696,744,731,712,623,504,374,-321,,321
-73.9868088371,40.6969636695,13K509,Freedom Academy High School,13,,"116 Nassau Street, Brooklyn, NY 11201",313,315,316,314,261,218,0,0,0,0,-288,,288
-73.9883233685,40.6948375851,13K527,Urban Assembly Institute of Math and Science for Young Women,13,2006,"283 Adams Street, Brooklyn, NY 11201",76,146,250,317,397,469,498,508,470,463,463,463,
-73.9484221335,40.6845982097,13K553,Brooklyn Academy High School,13,2003,"832 Marcy Avenue, Brooklyn, NY 11216",256,304,257,217,195,184,155,160,176,0,-323,,323
-73.9666205074,40.6783802893,13K571,MS 571,13,,"80 Underhill Ave, Brooklyn, NY 11238",279,273,249,213,169,88,0,0,0,0,-284,,284
-73.9475353252,40.6847204727,13K575,Bedford Stuyvesant Preparatory High School,13,,"832 Marcy Ave, Brooklyn, NY 11216",176,138,115,112,130,152,107,123,143,120,-75,,75
-73.9536921885,40.6853247177,13K595,Bedford Academy High School,13,2003,"1119 Bedford Avenue, Brooklyn, NY 11216",342,325,336,342,363,365,371,361,364,357,67,67,
-73.9585825483,40.6920934241,13K596,M.S. 596 Peace Academy,13,2007,"300 Willoughby Avenue, Brooklyn, NY 11205",0,75,138,195,178,155,117,88,47,49,49,49,
-73.9856138191,40.6950888592,13K605,George Westinghouse Career and Technical Education High School,13,1996,"105 Tech Place, Brooklyn, NY 11201",1012,896,917,963,929,927,817,702,634,603,-451,,451
-73.9584167089,40.6914259765,13K616,Brooklyn High School for Leadership and Community Service,13,2008,"300 Willoughby Avenue, Brooklyn, NY 11205",0,0,151,211,216,212,222,233,219,199,199,199,
-73.9687510115,40.6954559046,13K670,Benjamin Banneker Academy,13,1996,"71-77 Clinton Avenue, Brooklyn, NY 11205",998,924,865,829,832,895,900,907,916,911,-28,,28
-73.9855864132,40.6957872517,13K674,"City Polytechnic High School of Engineering, Architecture, and Technology",13,2009,"105 Tech Place, Brooklyn, NY 11201",0,0,0,124,246,335,426,451,458,444,444,444,
