GEO.Id,GEO.Id2,CENSUS TRACTS,Total; Families,Percent below poverty level; Families,Total; families with children under 18 ,Percent below poverty level; families with children under 18 
1400000US36047051602,36047051602,516.02,813,20,512,26.8
1400000US36047051700,36047051700,517,329,0.3,118,0
1400000US36047051800,36047051800,518,799,10.8,393,2.3
1400000US36047051900,36047051900,519,596,1.3,192,0
1400000US36047052000,36047052000,520,900,17.7,535,20.9
1400000US36047052300,36047052300,523,1392,21.8,559,26.7
1400000US36047052500,36047052500,525,737,46.1,415,65.1
1400000US36047052600,36047052600,526,1061,9.3,544,7.2
1400000US36047052700,36047052700,527,1136,42.4,676,48.7
1400000US36047052800,36047052800,528,436,5.3,243,9.5
1400000US36047052900,36047052900,529,869,44.9,570,61.2
1400000US36047053000,36047053000,530,720,15.4,270,18.9
1400000US36047053100,36047053100,531,1412,40.2,1234,45.7
1400000US36047053200,36047053200,532,579,8.6,211,17.1
1400000US36047053300,36047053300,533,1469,55.8,1143,64.7
1400000US36047053400,36047053400,534,872,24.5,410,46.1
1400000US36047053500,36047053500,535,928,52.4,734,58.7
1400000US36047053700,36047053700,537,681,51,563,57.2
1400000US36047053800,36047053800,538,976,16.7,370,23.2
1400000US36047053900,36047053900,539,703,48.1,395,56.2
1400000US36047054200,36047054200,542,1019,23.9,461,32.1
1400000US36047054300,36047054300,543,35,37.1,13,100
1400000US36047054400,36047054400,544,735,9.4,238,8.8
1400000US36047054500,36047054500,545,1408,64.1,875,56.6
1400000US36047054600,36047054600,546,1115,11.4,529,14.9
1400000US36047054700,36047054700,547,924,41.5,655,50.5
1400000US36047054800,36047054800,548,572,13.6,242,12.8
1400000US36047054900,36047054900,549,653,32.9,268,44
1400000US36047055000,36047055000,550,942,21.9,443,31.6
1400000US36047055100,36047055100,551,858,17,490,21.6
1400000US36047055200,36047055200,552,889,17.1,345,19.4
1400000US36047055300,36047055300,553,522,4.8,173,7.5
1400000US36047055400,36047055400,554,961,13.7,387,24.8
1400000US36047055500,36047055500,555,705,7.2,343,9.6
1400000US36047055600,36047055600,556,979,9.5,399,7
1400000US36047055700,36047055700,557,357,6.2,77,15.6
1400000US36047055800,36047055800,558,645,7.6,262,16.8
1400000US36047056000,36047056000,560,817,15.9,201,7
1400000US36047056100,36047056100,561,537,1.1,156,0
1400000US36047056200,36047056200,562,508,9.4,210,18.1
1400000US36047056300,36047056300,563,796,23.2,289,21.5
