GEO.Id,GEO.Id2,CENSUS TRACTS,Total; Families,Percent below poverty level; Families,All families  with  children under 18 ,Percent below poverty level; All families with children under 18 
1400000US36047009600,36047009600,96,1371,12.5,796,20.9
1400000US36047009800,36047009800,98,1468,29.6,941,35.8
1400000US36047010000,36047010000,100,1463,30.3,890,32.6
1400000US36047010100,36047010100,101,926,10.7,585,15
1400000US36047010200,36047010200,102,1271,22.4,703,26.5
1400000US36047010400,36047010400,104,1165,31.4,549,43
1400000US36047010600,36047010600,106,1309,33.2,804,36.4
1400000US36047010800,36047010800,108,1117,22,601,34.1
1400000US36047011000,36047011000,110,497,19.3,255,37.6
1400000US36047011200,36047011200,112,1381,29,748,39
1400000US36047011400,36047011400,114,885,23.8,394,45.2
1400000US36047011600,36047011600,116,966,32.6,605,35.9
1400000US36047011700,36047011700,117,648,11.6,118,29.7
1400000US36047011800,36047011800,118,575,27,322,32.9
1400000US36047011900,36047011900,119,369,8.1,220,13.6
1400000US36047012000,36047012000,120,296,43.9,135,43.7
1400000US36047012100,36047012100,121,291,8.9,127,0
1400000US36047012200,36047012200,122,1095,19.5,664,22.6
1400000US36047012600,36047012600,126,650,32.3,439,36.2
1400000US36047012700,36047012700,127,802,21.9,572,26
1400000US36047012801,36047012801,128.01,505,21.8,224,28.1
1400000US36047012901,36047012901,129.01,410,8.5,130,20.8
1400000US36047012902,36047012902,129.02,393,15.3,167,14.4
1400000US36047013000,36047013000,130,981,23.1,661,31.6
1400000US36047013100,36047013100,131,889,3,429,2.1
1400000US36047013200,36047013200,132,457,15.3,166,22.9
1400000US36047013300,36047013300,133,958,4.7,383,8.4
1400000US36047013400,36047013400,134,882,6.3,429,13.1
1400000US36047013500,36047013500,135,627,4.1,387,6.7
1400000US36047013600,36047013600,136,884,13.3,412,28.6
1400000US36047013700,36047013700,137,616,5.8,250,0
1400000US36047013800,36047013800,138,796,14.8,352,27.6
1400000US36047013900,36047013900,139,807,10,427,15.7
1400000US36047014000,36047014000,140,542,6.1,151,7.3
1400000US36047014100,36047014100,141,705,10.1,352,5.7
1400000US36047014200,36047014200,142,690,6.8,231,15.6
1400000US36047014300,36047014300,143,807,12.8,344,26.7
1400000US36047014500,36047014500,145,884,12.4,460,15.9
1400000US36047014700,36047014700,147,528,13.6,263,27.4
1400000US36047014800,36047014800,148,391,0,210,0
1400000US36047014900,36047014900,149,954,7,564,11.9
1400000US36047015000,36047015000,150,542,8.1,130,17.7
1400000US36047015100,36047015100,151,867,1.2,394,0
1400000US36047015200,36047015200,152,726,4.7,191,11.5
1400000US36047015300,36047015300,153,689,0,280,0
1400000US36047015400,36047015400,154,0,0,0,0
1400000US36047015500,36047015500,155,919,2.8,507,3
1400000US36047015700,36047015700,157,977,2.4,390,2.8
1400000US36047015900,36047015900,159,1143,0,580,0
1400000US36047016000,36047016000,160,950,20.4,488,37.9
1400000US36047016100,36047016100,161,629,1.7,179,6.1
1400000US36047016200,36047016200,162,553,0,335,0
1400000US36047016300,36047016300,163,756,7,377,9
1400000US36047016400,36047016400,164,176,0,149,0
1400000US36047016500,36047016500,165,1216,1.2,712,2
1400000US36047016600,36047016600,166,558,7.9,108,13
1400000US36047016700,36047016700,167,1078,5.5,549,4.9
1400000US36047016800,36047016800,168,414,2.9,128,0
1400000US36047016900,36047016900,169,1122,13.9,368,11.1
1400000US36047017000,36047017000,170,878,3.9,344,7.6
1400000US36047017100,36047017100,171,1042,1,539,1.9
1400000US36047017200,36047017200,172,727,11.6,379,10
1400000US36047017400,36047017400,174,427,2.1,197,4.6
1400000US36047017500,36047017500,175,11,0,11,0
1400000US36047017600,36047017600,176,415,12.5,155,33.5
1400000US36047017700,36047017700,177,0,0,0,0
1400000US36047017800,36047017800,178,589,8.1,284,7
1400000US36047017900,36047017900,179,730,3.3,307,0
1400000US36047018000,36047018000,180,645,11.8,329,20.7
1400000US36047018100,36047018100,181,811,13.1,300,35.3
1400000US36047018200,36047018200,182,763,6.8,308,10.4
1400000US36047018300,36047018300,183,535,9.9,273,4
1400000US36047018400,36047018400,184,472,10.4,141,5
1400000US36047018501,36047018501,185.01,689,36.3,407,56
1400000US36047018600,36047018600,186,438,2.1,189,4.8
1400000US36047018700,36047018700,187,399,22.6,256,24.2
1400000US36047018800,36047018800,188,737,0.7,360,1.4
1400000US36047019000,36047019000,190,1193,17.7,730,24.4
1400000US36047019100,36047019100,191,412,22.3,274,33.6
1400000US36047019200,36047019200,192,559,37,313,50.8
1400000US36047019300,36047019300,193,938,21.9,371,52
