Longitude,Latitude,DBN,school,district,open_date,school_add,Enrollment,2006_1,2007_1,2008_1,2009_1,2010_1,2011_1,2012_1,2013_1,2014_1,2015_1,Growth/dec,Growth,Decline,Year opened
-73.9777542,40.6765933,13K282,P.S. 282 Park Slope,13,1962,"180 6th Avenue, Brooklyn, NY 11217",565,660,728,861,889,1028,1033,1006,1004,930,898,333,333,,
-73.9809007017,40.6978758624,13K287,P.S. 287 Bailey K. Ashford,13,1953,"50 Navy Street, Brooklyn, NY 11201",218,193,173,179,187,204,217,215,215,199,203,-15,,-15,
-73.9455351141,40.6857228797,13K301,Satellite East Middle School,13,2002,"344 Monroe Street, Brooklyn, NY 11216",271,220,234,261,252,242,220,204,164,119,99,-172,,-172,
-73.9450120176,40.6857908864,13K305,P.S. 305 Dr. Peter Ray,13,1962,"344 Monroe Street, Brooklyn, NY 11216",479,447,411,408,360,347,308,280,219,188,183,-296,,-296,
-73.9818793385,40.701907847,13K307,P.S. 307 Daniel Hale Williams,13,1965,"209 York Street, Brooklyn, NY 11201",371,333,275,258,275,297,314,352,370,413,369,-2,,-2,
-73.9814302622,40.7015935591,13K313,Satellite West Middle School,13,1999,"209 York Street, Brooklyn, NY 11201",318,285,274,269,217,176,133,132,119,104,74,-244,,-244,
-73.9456346418,40.6820719404,13K336,The Urban Assembly Academy of Business and Community,13,,"141 Macon Street, Brooklyn, NY 11216",77,125,154,201,205,230,225,0,0,0,0,-77,,-77,
-73.9848015042,40.6973959922,13K350,Urban Assembly High School of Music and Art,13,2005,"49 Flatbush Avenue Extension, Brooklyn, NY 11201",110,217,308,381,411,391,431,80,139,188,323,213,213,,
-73.960237384,40.6838681915,13K351,The Urban Assembly Unison School K351,13,2012,"170 Gates Avenue, Brooklyn, NY 11238",0,0,0,0,0,0,0,0,0,188,149,149,149,,2012
-73.9587024378,40.6924144806,13K412,"Brooklyn Community High School of Communication, Arts and Media",13,2006,"300 Willoughby Avenue, Brooklyn, NY 11205",0,98,219,324,426,467,462,469,401,404,370,370,370,,
-73.9845358595,40.6971054096,13K419,Science Skills Center High School for Science,13,,"49 Flatbush Ave Ext, Brooklyn, NY 11217",928,971,954,956,794,627,517,534,537,528,549,-379,,-379,
-73.9764135515,40.6888679129,13K430,Brooklyn Technical High School,13,,"29 Fort Greene Place, Brooklyn, NY 11217",4240,4296,4469,4662,4947,5140,5332,5451,5458,5447,5509,1269,1269,,
